model,layer,feature_ind,importance
InceptionV1,mixed5a,663,31
InceptionV1,mixed5a,664,-2
InceptionV1,mixed5a,665,64
InceptionV1,mixed5a,666,-7
InceptionV1,mixed5a,667,4
InceptionV1,mixed5a,668,48
InceptionV1,mixed5a,669,4
InceptionV1,mixed5a,670,31
InceptionV1,mixed5a,671,31
InceptionV1,mixed5a,672,-9
InceptionV1,mixed5a,673,15
InceptionV1,mixed5a,674,-3
InceptionV1,mixed5a,675,4
InceptionV1,mixed5a,676,1
InceptionV1,mixed5a,677,38
InceptionV1,mixed5a,678,28
InceptionV1,mixed5a,679,-6
InceptionV1,mixed5a,680,21
InceptionV1,mixed5a,681,36
InceptionV1,mixed5a,682,11
InceptionV1,mixed5a,683,27
InceptionV1,mixed5a,684,4
InceptionV1,mixed5a,685,6
InceptionV1,mixed5a,686,0
InceptionV1,mixed5a,687,2
InceptionV1,mixed5a,688,29
InceptionV1,mixed5a,689,3
InceptionV1,mixed5a,690,-15
InceptionV1,mixed5a,691,21
InceptionV1,mixed5a,692,78
InceptionV1,mixed5a,693,6
InceptionV1,mixed5a,694,15
InceptionV1,mixed5a,695,-4
InceptionV1,mixed5a,696,9
InceptionV1,mixed5a,697,-6
InceptionV1,mixed5a,698,1
InceptionV1,mixed5a,699,33
InceptionV1,mixed5a,700,-5
InceptionV1,mixed5a,701,5
InceptionV1,mixed5a,702,30
InceptionV1,mixed5a,703,-11
InceptionV1,mixed5a,704,73
InceptionV1,mixed5a,705,57
InceptionV1,mixed5a,706,17
InceptionV1,mixed5a,707,8
InceptionV1,mixed5a,708,15
InceptionV1,mixed5a,709,5
InceptionV1,mixed5a,710,42
InceptionV1,mixed5a,711,28
InceptionV1,mixed5a,712,85
InceptionV1,mixed5a,713,16
InceptionV1,mixed5a,714,37
InceptionV1,mixed5a,715,7
InceptionV1,mixed5a,716,15
InceptionV1,mixed5a,717,48
InceptionV1,mixed5a,718,14
InceptionV1,mixed5a,719,42
InceptionV1,mixed5a,720,157
InceptionV1,mixed5a,721,47
InceptionV1,mixed5a,722,21
InceptionV1,mixed5a,723,16
InceptionV1,mixed5a,724,25
InceptionV1,mixed5a,725,19
InceptionV1,mixed5a,726,70
InceptionV1,mixed5a,727,43
InceptionV1,mixed5a,728,25
InceptionV1,mixed5a,729,9
InceptionV1,mixed5a,730,16
InceptionV1,mixed5a,731,55
InceptionV1,mixed5a,732,21
InceptionV1,mixed5a,733,16
InceptionV1,mixed5a,734,0
InceptionV1,mixed5a,735,-4
InceptionV1,mixed5a,736,25
InceptionV1,mixed5a,737,17
InceptionV1,mixed5a,738,39
InceptionV1,mixed5a,739,-4
InceptionV1,mixed5a,740,10
InceptionV1,mixed5a,741,43
InceptionV1,mixed5a,742,30
InceptionV1,mixed5a,743,18
InceptionV1,mixed5a,744,84
InceptionV1,mixed5a,745,15
InceptionV1,mixed5a,746,24
InceptionV1,mixed5a,747,-17
InceptionV1,mixed5a,748,27
InceptionV1,mixed5a,749,-2
InceptionV1,mixed5a,750,14
InceptionV1,mixed5a,751,48
InceptionV1,mixed5a,752,-17
InceptionV1,mixed5a,753,1
InceptionV1,mixed5a,754,62
InceptionV1,mixed5a,755,28
InceptionV1,mixed5a,756,5
InceptionV1,mixed5a,757,48
InceptionV1,mixed5a,758,49
InceptionV1,mixed5a,759,19
InceptionV1,mixed5a,760,47
InceptionV1,mixed5a,761,86
InceptionV1,mixed5a,762,40
InceptionV1,mixed5a,763,40
InceptionV1,mixed5a,764,-15
InceptionV1,mixed5a,765,28
InceptionV1,mixed5a,766,31
InceptionV1,mixed5a,767,51
InceptionV1,mixed5a,768,66
InceptionV1,mixed5a,769,108
InceptionV1,mixed5a,770,3
InceptionV1,mixed5a,771,9
InceptionV1,mixed5a,772,37
InceptionV1,mixed5a,773,3
InceptionV1,mixed5a,774,253
InceptionV1,mixed5a,775,60
InceptionV1,mixed5a,776,58
InceptionV1,mixed5a,777,21
InceptionV1,mixed5a,778,27
InceptionV1,mixed5a,779,-18
InceptionV1,mixed5a,780,43
InceptionV1,mixed5a,781,-1
InceptionV1,mixed5a,782,16
InceptionV1,mixed5a,783,40
InceptionV1,mixed5a,784,37
InceptionV1,mixed5a,785,120
InceptionV1,mixed5a,786,-4
InceptionV1,mixed5a,787,4
InceptionV1,mixed5a,788,24
InceptionV1,mixed5a,789,13
InceptionV1,mixed5a,790,31
InceptionV1,mixed5a,791,60
InceptionV1,mixed5a,792,18
InceptionV1,mixed5a,793,18
InceptionV1,mixed5a,794,-18
InceptionV1,mixed5a,795,117
InceptionV1,mixed5a,796,21
InceptionV1,mixed5a,797,-16
InceptionV1,mixed5a,798,9
InceptionV1,mixed5a,799,17
InceptionV1,mixed5a,800,187
InceptionV1,mixed5a,801,31
InceptionV1,mixed5a,802,12
InceptionV1,mixed5a,803,113
InceptionV1,mixed5a,804,0
InceptionV1,mixed5a,805,41
InceptionV1,mixed5a,806,50
InceptionV1,mixed5a,807,38
InceptionV1,mixed5a,808,41
